'Elapsed time','ECG ECG'
'seconds','mV'
0.000,0.003
0.002,0.002
0.004,0.003
0.006,0.007
0.008,0.013
0.010,0.019
0.012,0.025
0.014,0.028
0.016,0.027
0.018,0.021
0.020,0.013
0.022,0.002
0.024,-0.008
0.026,-0.018
0.028,-0.026
0.030,-0.033
0.032,-0.040
0.034,-0.048
0.036,-0.056
0.038,-0.065
0.040,-0.073
0.042,-0.078
0.044,-0.081
0.046,-0.081
0.048,-0.079
0.050,-0.076
0.052,-0.075
0.054,-0.075
0.056,-0.078
0.058,-0.082
0.060,-0.087
0.062,-0.091
0.064,-0.094
0.066,-0.094
0.068,-0.092
0.070,-0.088
0.072,-0.085
0.074,-0.084
0.076,-0.085
0.078,-0.088
0.080,-0.091
0.082,-0.094
0.084,-0.095
0.086,-0.093
0.088,-0.089
0.090,-0.083
0.092,-0.078
0.094,-0.075
0.096,-0.075
0.098,-0.080
0.100,-0.089
0.102,-0.101
0.104,-0.113
0.106,-0.123
0.108,-0.130
0.110,-0.130
0.112,-0.122
0.114,-0.102
0.116,-0.069
0.118,-0.019
0.120,0.048
0.122,0.133
0.124,0.232
0.126,0.340
0.128,0.448
0.130,0.547
0.132,0.627
0.134,0.683
0.136,0.708
0.138,0.698
0.140,0.649
0.142,0.558
0.144,0.429
0.146,0.271
0.148,0.097
0.150,-0.074
0.152,-0.222
0.154,-0.334
0.156,-0.404
0.158,-0.434
0.160,-0.435
0.162,-0.416
0.164,-0.389
0.166,-0.361
0.168,-0.335
0.170,-0.313
0.172,-0.294
0.174,-0.277
0.176,-0.261
0.178,-0.244
0.180,-0.224
0.182,-0.202
0.184,-0.176
0.186,-0.149
0.188,-0.122
0.190,-0.099
0.192,-0.083
0.194,-0.075
0.196,-0.075
0.198,-0.079
0.200,-0.084
0.202,-0.088
0.204,-0.088
0.206,-0.084
0.208,-0.076
0.210,-0.066
0.212,-0.057
0.214,-0.051
0.216,-0.047
0.218,-0.047
0.220,-0.049
0.222,-0.051
0.224,-0.052
0.226,-0.050
0.228,-0.047
0.230,-0.042
0.232,-0.037
0.234,-0.032
0.236,-0.030
0.238,-0.031
0.240,-0.033
0.242,-0.035
0.244,-0.035
0.246,-0.033
0.248,-0.030
0.250,-0.025
0.252,-0.021
0.254,-0.018
0.256,-0.018
0.258,-0.019
0.260,-0.022
0.262,-0.024
0.264,-0.025
0.266,-0.025
0.268,-0.022
0.270,-0.019
