'Elapsed time','EMG'
'seconds','mV'
0.000,-0.033
0.000,-0.035
0.001,-0.035
0.001,-0.030
0.001,-0.030
0.001,-0.033
0.002,-0.032
0.002,-0.033
0.002,-0.033
0.002,-0.037
0.003,-0.035
0.003,-0.042
0.003,-0.042
0.003,-0.038
0.004,-0.042
0.004,-0.047
0.004,-0.047
0.004,-0.052
0.004,-0.053
0.005,-0.058
0.005,-0.058
0.005,-0.063
0.005,-0.063
0.006,-0.060
0.006,-0.063
0.006,-0.060
0.006,-0.060
0.007,-0.058
0.007,-0.058
0.007,-0.057
0.007,-0.058
0.008,-0.057
0.008,-0.060
0.008,-0.055
0.009,-0.055
0.009,-0.050
0.009,-0.052
0.009,-0.042
0.009,-0.042
0.010,-0.037
0.010,-0.037
0.010,-0.032
0.011,-0.032
0.011,-0.025
0.011,-0.027
0.011,-0.018
0.011,-0.017
0.012,-0.008
0.012,-0.008
0.012,0.005
0.013,0.005
0.013,0.013
0.013,0.015
0.013,0.010
0.013,0.008
0.014,-0.018
0.014,-0.020
0.014,-0.045
0.015,-0.045
0.015,-0.057
0.015,-0.057
0.015,-0.055
0.015,-0.057
0.016,-0.050
0.016,-0.050
0.016,-0.045
0.017,-0.047
0.017,-0.048
0.017,-0.048
0.017,-0.053
0.018,-0.053
0.018,-0.060
0.018,-0.060
0.018,-0.078
0.018,-0.078
0.019,-0.108
0.019,-0.110
0.019,-0.088
0.019,-0.085
0.020,0.010
0.020,0.013
0.020,0.037
0.021,0.032
0.021,0.003
0.021,0.005
0.021,0.002
0.021,0.002
0.022,-0.005
0.022,-0.007
0.022,-0.002
0.022,-0.002
0.023,0.007
0.023,0.007
0.023,0.035
0.024,0.037
0.024,0.070
0.024,0.072
0.024,0.002
0.025,-0.028
0.025,0.265
0.025,0.322
0.025,0.033
0.025,0.302
0.026,-0.182
0.026,-0.197
0.026,-0.378
0.026,-0.382
0.027,-0.277
0.027,-0.270
0.027,-0.083
0.028,-0.077
0.028,0.027
0.028,0.030
0.028,0.062
0.029,0.060
0.029,0.020
0.029,0.018
0.029,-0.018
0.029,-0.020
0.030,-0.032
0.030,-0.030
0.030,-0.020
0.030,-0.018
0.031,-0.003
0.031,-0.003
0.031,0.007
0.032,0.007
0.032,0.015
0.032,0.013
0.032,0.022
0.033,0.022
0.033,0.033
0.033,0.033
0.033,0.052
0.034,0.052
0.034,0.083
0.034,0.085
0.034,0.138
0.035,0.140
0.035,0.195
0.035,0.232
0.035,0.130
0.035,0.113
0.036,-0.048
0.036,-0.018
0.036,0.180
0.036,0.145
0.037,0.105
0.037,0.107
0.037,0.115
0.037,0.108
0.038,0.065
0.038,0.063
0.038,0.002
0.038,0.000
0.039,-0.047
0.039,-0.048
0.039,-0.078
0.040,-0.080
0.040,-0.098
0.040,-0.098
0.040,-0.105
0.041,-0.103
0.041,-0.105
0.041,-0.105
0.041,-0.098
0.042,-0.100
0.042,-0.092
0.042,-0.093
0.042,-0.082
0.043,-0.080
0.043,-0.072
0.043,-0.072
0.043,-0.060
0.043,-0.058
0.044,-0.050
0.044,-0.050
0.044,-0.042
0.044,-0.042
0.045,-0.037
0.045,-0.038
0.045,-0.033
0.045,-0.033
0.046,-0.028
0.046,-0.033
0.046,-0.030
0.046,-0.030
0.047,-0.025
0.047,-0.025
0.047,-0.017
0.048,-0.017
0.048,-0.008
0.048,-0.008
0.048,0.002
0.049,0.002
0.049,0.003
0.049,0.005
0.049,0.002
0.050,0.003
0.050,0.002
0.050,0.000
0.050,0.005
0.051,0.003
0.051,0.007
0.051,0.003
0.051,0.007
0.051,0.005
0.052,0.002
0.052,0.003
0.052,0.000
0.052,0.000
0.053,-0.003
0.053,-0.005
0.053,-0.003
0.053,-0.007
0.054,-0.003
0.054,-0.003
0.054,-0.007
0.054,-0.007
0.055,-0.008
0.055,-0.007
0.055,-0.008
0.056,-0.008
0.056,-0.010
0.056,-0.008
0.056,-0.005
0.057,-0.005
0.057,0.002
0.057,0.002
0.057,0.008
0.058,0.008
0.058,0.013
0.058,0.013
0.058,0.020
0.059,0.020
0.059,0.023
0.059,0.023
0.059,0.030
0.059,0.028
0.060,0.040
0.060,0.040
0.060,0.050
0.060,0.048
0.061,0.057
0.061,0.057
0.061,0.053
0.061,0.055
0.062,0.048
0.062,0.048
0.062,0.037
0.062,0.037
0.063,0.028
0.063,0.028
0.063,0.025
0.064,0.028
0.064,0.030
0.064,0.028
0.064,0.015
0.065,0.013
0.065,-0.015
0.065,-0.015
0.065,-0.033
0.066,-0.032
0.066,-0.033
0.066,-0.033
0.066,-0.030
0.067,-0.033
0.067,-0.028
0.067,-0.032
0.067,-0.025
0.068,-0.027
0.068,-0.022
0.068,-0.023
0.068,-0.008
0.069,-0.008
0.069,0.005
0.069,0.007
0.069,0.022
0.070,0.022
0.070,0.015
0.070,0.020
0.070,0.003
0.070,0.002
0.071,-0.067
0.071,-0.067
0.071,0.037
0.071,0.038
0.072,-0.072
0.072,-0.048
0.072,0.018
0.072,0.020
0.073,0.042
0.073,0.042
0.073,0.050
0.073,0.052
0.074,0.057
0.074,0.055
0.074,0.043
0.074,0.042
0.075,0.028
0.075,0.027
0.075,0.015
0.075,0.015
0.076,0.005
0.076,0.007
0.076,0.003
0.076,0.003
0.077,0.007
0.077,0.007
0.077,0.012
0.077,0.010
0.078,0.002
0.078,0.002
0.078,-0.010
0.079,-0.010
0.079,-0.030
0.079,-0.030
0.079,-0.043
0.080,-0.043
0.080,-0.040
0.080,-0.040
0.080,-0.028
0.081,-0.027
0.081,-0.013
0.081,-0.013
0.081,0.002
0.082,0.003
0.082,0.020
0.082,0.020
0.082,0.037
0.083,0.037
0.083,0.040
0.083,0.037
0.083,0.032
0.084,0.032
0.084,0.023
0.084,0.023
0.084,0.017
0.085,0.017
0.085,0.013
0.085,0.013
0.085,0.010
0.086,0.012
0.086,0.008
0.086,0.008
0.086,0.010
0.086,0.008
0.087,0.017
0.087,0.015
0.087,0.020
0.087,0.020
0.088,0.025
0.088,0.025
0.088,0.027
0.088,0.028
0.089,0.032
0.089,0.030
0.089,0.032
0.089,0.028
0.090,0.033
0.090,0.032
0.090,0.037
0.090,0.037
0.091,0.042
0.091,0.042
0.091,0.045
0.091,0.043
0.092,0.038
0.092,0.040
0.092,0.032
0.092,0.032
0.093,0.020
0.093,0.020
0.093,0.007
0.093,0.007
0.094,-0.003
0.094,-0.003
0.094,-0.010
0.095,-0.008
0.095,-0.005
0.095,-0.008
0.095,-0.003
0.096,-0.005
0.096,-0.002
0.096,-0.007
0.096,-0.005
0.097,-0.007
0.097,-0.008
0.097,-0.008
0.097,-0.010
0.098,-0.010
0.098,-0.008
0.098,-0.008
0.098,-0.005
0.099,-0.005
0.099,-0.007
0.099,-0.007
0.099,-0.003
0.100,-0.005
0.100,-0.010
0.100,-0.008
0.100,-0.012
0.101,-0.013
0.101,-0.030
0.101,-0.030
0.101,-0.037
0.102,-0.037
0.102,-0.035
0.102,-0.033
0.102,-0.030
0.102,-0.030
0.103,-0.022
0.103,-0.022
0.103,-0.017
0.103,-0.017
0.104,-0.013
0.104,-0.012
0.104,0.002
0.104,0.002
0.105,0.008
0.105,0.007
0.105,-0.002
0.105,-0.002
0.106,-0.058
0.106,-0.062
0.106,-0.147
0.106,-0.150
0.107,-0.118
0.107,-0.113
