'Elapsed time','EMG'
'seconds','mv'
0.000,-0.005
0.000,-0.010
0.001,-0.005
0.001,-0.010
0.001,-0.007
0.001,-0.002
0.002,-0.002
0.002,0.003
0.002,0.002
0.002,0.005
0.003,0.007
0.003,0.003
0.003,0.003
0.003,0.007
0.004,0.008
0.004,0.003
0.004,0.003
0.004,0.010
0.004,0.007
0.005,0.000
0.005,0.003
0.005,0.032
0.005,0.032
0.006,0.067
0.006,0.068
0.006,0.082
0.006,0.082
0.007,0.062
0.007,0.060
0.007,0.025
0.007,0.023
0.008,-0.033
0.008,-0.035
0.008,-0.060
0.009,-0.060
0.009,-0.133
0.009,-0.143
0.009,-0.312
0.009,-0.308
0.010,-0.163
0.010,-0.157
0.010,0.020
0.011,0.057
0.011,0.002
0.011,-0.012
0.011,0.023
0.011,0.015
0.012,-0.010
0.012,0.012
0.012,0.068
0.013,0.073
0.013,0.098
0.013,0.125
0.013,0.092
0.013,0.090
0.014,0.018
0.014,0.122
0.014,-0.102
0.015,0.270
0.015,-0.223
0.015,-0.248
0.015,0.017
0.015,-0.008
0.016,-0.052
0.016,-0.037
0.016,0.075
0.017,0.080
0.017,0.018
0.017,0.020
0.017,0.055
0.018,0.055
0.018,0.060
0.018,0.058
0.018,0.047
0.018,0.043
0.019,0.048
0.019,0.043
0.019,0.053
0.019,0.055
0.020,0.093
0.020,0.097
0.020,0.155
0.021,0.157
0.021,0.115
0.021,0.117
0.021,0.310
0.021,0.173
0.022,0.060
0.022,0.170
0.022,0.385
0.022,0.333
0.023,0.152
0.023,0.143
0.023,0.033
0.024,0.033
0.024,0.077
0.024,0.083
0.024,-0.007
0.025,-0.013
0.025,-0.085
0.025,-0.050
0.025,-0.097
0.025,-0.102
0.026,-0.135
0.026,-0.123
0.026,-0.067
0.026,-0.062
0.027,-0.012
0.027,-0.012
0.027,-0.043
0.028,-0.057
0.028,-0.038
0.028,-0.038
0.028,-0.070
0.029,-0.068
0.029,-0.078
0.029,-0.070
0.029,-0.052
0.029,-0.050
0.030,-0.043
0.030,-0.047
0.030,-0.037
0.030,-0.037
0.031,-0.047
0.031,-0.048
0.031,-0.042
0.032,-0.040
0.032,-0.030
0.032,-0.030
0.032,-0.023
0.033,-0.022
0.033,-0.008
0.033,-0.008
0.033,0.002
0.034,0.005
0.034,-0.007
0.034,-0.007
0.034,-0.017
0.035,-0.018
0.035,-0.025
0.035,-0.020
0.035,0.025
0.035,0.027
0.036,0.083
0.036,0.085
0.036,-0.110
0.036,-0.127
0.037,-0.470
0.037,-0.473
0.037,-0.265
0.037,-0.250
0.038,0.018
0.038,0.027
0.038,0.128
0.038,0.100
0.039,0.038
0.039,0.090
0.039,-0.003
0.040,-0.008
0.040,-0.045
0.040,-0.018
0.040,0.062
0.041,0.062
0.041,0.005
0.041,0.003
0.041,-0.030
0.042,-0.025
0.042,0.002
0.042,0.002
0.042,-0.042
0.043,-0.040
